Luis Tello,Nomina,NO,QUITO,Distrito 12,BAJA,1500,15/12/2020
Francis Oqueda,Factura,SI,ALANGASI,Distrito 10,ALTA,12366,13/10/2019
Mayte Salazar,Servicios,NO,TUMBACO,Distrito 10,MEDIA,4500,9/8/2020
Erick Sisalema,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,900,11/1/2020
Pedro Carchi,Administracion,SI,CONOCOTO,Distrito 12,BAJA,1200,11/2/2020
Luis Oquendo,Latencia,SI,QUITO,Distrito 12,MEDIA,5866,11/3/2020
Francisco Tello,Medicina,NO,ALANGASI,Distrito 10,ALTA,136556,11/4/2020
Mercedes Benavides,Escuela,NO,QUITO,Distrito 10,ALTA,12365,11/5/2020
Erick Sisalema,Nomina,NO,QUITO,Distrito 12,BAJA,59481.78571,15/12/2021
Pedro Carchi,Factura,SI,ALANGASI,Distrito 10,ALTA,67831.82143,13/10/2020
Luis Oquendo,Servicios,NO,TUMBACO,Distrito 10,MEDIA,76181.85714,9/8/2020
Francisco Tello,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,84531.89286,11/1/2020
Mercedes Benavides,Administracion,SI,CONOCOTO,Distrito 12,BAJA,92881.92857,11/2/2020
Erick Sisalema,Latencia,SI,QUITO,Distrito 12,MEDIA,101231.9643,11/3/2020
Pedro Carchi,Medicina,NO,ALANGASI,Distrito 10,ALTA,109582,11/4/2020
Luis Oquendo,Escuela,NO,QUITO,Distrito 10,ALTA,117932.0357,11/5/2020
Francisco Tello,Nomina,NO,QUITO,Distrito 12,BAJA,126282.0714,15/12/2022
Mercedes Benavides,Factura,SI,ALANGASI,Distrito 10,ALTA,134632.1071,13/10/2021
Erick Sisalema,Servicios,NO,TUMBACO,Distrito 10,MEDIA,142982.1429,9/8/2020
Pedro Carchi,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,151332.1786,11/1/2020
Luis Oquendo,Administracion,SI,CONOCOTO,Distrito 12,BAJA,159682.2143,11/2/2020
Francisco Tello,Latencia,SI,QUITO,Distrito 12,MEDIA,168032.25,11/3/2020
Mercedes Benavides,Medicina,NO,ALANGASI,Distrito 10,ALTA,176382.2857,11/4/2020
Erick Sisalema,Escuela,NO,QUITO,Distrito 10,ALTA,184732.3214,11/5/2020
Pedro Carchi,Nomina,NO,QUITO,Distrito 12,BAJA,193082.3571,15/12/2023
Luis Oquendo,Factura,SI,ALANGASI,Distrito 10,ALTA,201432.3929,13/10/2022
Francisco Tello,Servicios,NO,TUMBACO,Distrito 10,MEDIA,209782.4286,9/8/2020
Mercedes Benavides,Tesoreria,NO,TUMBACO,Distrito 10,BAJA,218132.4643,11/1/2020
Erick Sisalema,Administracion,SI,CONOCOTO,Distrito 12,BAJA,226482.5,11/2/2020
Pedro Carchi,Latencia,SI,QUITO,Distrito 12,MEDIA,234832.5357,11/3/2020
Luis Oquendo,Medicina,NO,ALANGASI,Distrito 10,ALTA,243182.5714,11/4/2020
Francisco Tello,Escuela,NO,QUITO,Distrito 10,ALTA,251532.6071,11/5/2020
Mercedes Benavides,Nomina,NO,QUITO,Distrito 12,BAJA,259882.6429,15/12/2024
